lat,lon,region,state,station,H,P,R,T,V,sH,sP,sR,sT,sV
-15.78944444,-47.92583332,NE,RN,SANTA CRUZ,65.45072859536538,887.2879149703781,113.00896464646462,21.52738978066002,2.324404812801782,16.636953845946415,2.060525480687554,56.675535595857646,3.434736460288859,1.1172121489876419
-15.59972221,-48.1311111,NE,BA,BARREIRAS,63.415417072977455,888.7409465400756,131.15555555555554,21.908385377421556,2.3188072501939607,15.382483089868073,1.6447353215735205,44.73246751612543,3.314154919741197,1.3292518832946876
-15.93916666,-50.14138888,SE,SP,ARIRANHA,62.71827189106357,954.7015751186406,111.37378787878784,25.655919554848115,1.0862154348630193,16.226071579718276,1.7819666107812662,69.08499334919419,4.065549767408496,1.0611297589948718
-3.10333333,-60.01638888,S,RS,BAGE,74.77901018234552,1004.2621757320112,167.31912457912452,27.768980375677994,1.4527764377678256,13.43296182787593,2.3818106272857165,69.88671470348037,2.5983905990749236,0.7997828586691681
-6.65027777,-69.86694443,S,PR,VENTANIA,70.6800971009429,997.9467227304418,185.4863888888888,25.53713295290498,0.7824014614732709,13.597678761282104,2.5839531239217086,77.44320281955952,3.1261084719509697,0.8048530396721453
-8.77666666,-67.33222221,NE,SE,POCO VERDE,79.55736629506511,998.3037280010681,158.90826599326593,26.138934726084898,1.144830279774456,14.301696803509998,2.2405702421982796,83.57446917430056,3.3786182369404023,0.9694011696465669
-7.43527777,-64.7886111,NE,BA,SENHOR DO BONFIM,79.4853633269682,1003.5465702990701,177.31336940836934,26.712729856234546,0.8501362889131118,13.378788127152376,2.079261240010233,89.3689474284897,3.134911241747148,0.822650565124604
-7.92277777,-63.12138888,NE,PI,OEIRAS,80.31981798819251,1004.394786300652,178.17805495430488,26.454888868826956,1.0403543530724448,14.754260313368652,1.9664984923459805,75.29663750362684,3.4241126721569723,1.0512154106505271
-7.21527777,-59.8886111,NE,CE,QUIXERAMOBIM,80.36758509898597,992.6088475011135,180.43726190476187,25.96653171877125,0.732624366832014,14.10191527850503,1.8509892973893596,102.67248681565592,3.372386961683557,0.7784029173416199
-4.09749999,-63.14527777,N,AM,MANICORE,80.85602636874629,1006.1778395377896,178.15962962962953,26.90885385131473,1.1434068589284767,11.844552214808992,1.9462535676227806,83.47059855870567,2.9041829812504285,1.0832450136139364
-3.29472221,-60.62833332,N,PA,CONCEICAO DO ARAGUAIA,78.34385504318085,1005.824565838425,161.49696969696964,27.248093439559018,1.3093486620281476,11.696075538506834,1.8674677722551085,103.12787791290168,2.5691640051087385,0.9452820991008531
-2.05638888,-60.02555554,NE,CE,SOBRAL,80.50110615749195,1007.8652072665564,142.11763888888882,27.074150187913535,0.6105717171096398,13.117530041439792,1.8382034713950872,76.43142854144631,2.96384812320848,0.6502195037804164
-3.13305554,-58.48277777,NE,BA,REMANSO,80.67818018511339,1005.5768048869996,133.28636363636357,27.079624186313282,0.9014013868585713,10.624471804816567,1.8099584414235153,87.49020256638676,2.421447297379982,0.6916898972495978
-14.98027777,-49.53944444,NE,BA,BRUMADO,70.48058419948666,951.0367674600352,87.02136363636362,24.18400349015876,1.0338718382007508,18.095825711470926,1.727126556124938,65.29115028390255,4.312365028121385,1.0958496319227542
-3.39888888,-57.6736111,SE,MG,GUARDA-MOR,86.78499067869673,1007.6320257432585,169.47316498316488,26.411694194005293,0.5196770224198471,10.720311024938384,1.8226368493421952,91.68501179151276,2.8331835192298676,0.6613328684356219
-2.64055555,-56.75472222,S,SC,ITAPOA,78.24057567741716,1007.832300321873,120.38797558922558,27.521408809294055,0.79361230811352,10.5641105338188,1.7572772036742839,101.00725553949417,2.330141520980833,0.6744650755521677
-2.89638888,-57.75833333,S,PR,DIAMANTE DO NORTE,79.10417213565667,1008.1318199618539,146.21848484848485,27.54493199656197,0.8150845623559553,12.339713211882982,1.814866356910587,93.27113809626242,2.962824170862946,0.9028333416641591
-2.7211111,-59.94333333,SE,ES,AFONSO CLAUDIO,86.00402799159663,1005.3243432781459,192.5113636363636,25.95473869931332,0.6688629397260181,13.237408062745038,1.8933118787165926,79.72064178985487,3.2235198417745923,0.9047914964604953
-2.08499999,-60.04888888,S,RS,Santa Vitoria do Palmar - Barra do Chui,81.61671044291207,1003.3875568694762,201.7203282828282,26.55424739937506,0.7237402479666226,14.613530553975385,1.8755974716716484,96.88456620078607,3.3648550176421366,0.8944447164839581
-0.95861111,-62.94222221,CO,MT,VILA BELA DA SANTISSIMA TRINDADE,84.41166617543267,1007.831115537624,156.0538359788359,26.280672181692832,0.8272573748663218,12.613813512092092,2.0038805254795595,91.75087843079073,2.987251986358246,0.9199209856277735
-5.81055555,-61.29194444,CO,MS,IVINHEMA,80.05207237004362,1005.8864228562626,194.3563888888888,26.815615738106658,1.1232095706346803,13.705205119092781,1.9379453246814518,76.62238042774004,3.317922654312649,0.7315409179317838
-0.12499999,-67.06111111,CO,MT,QUERENCIA,85.30882491865448,1001.2074291870136,256.98373015873,25.82972355074885,0.7270146557364655,11.645966151864634,2.0280126330634136,82.09187969774906,2.794797595633142,0.45421410974331416
-2.93055554,-69.69527777,N,PA,SOURE,67.41735848927253,1002.480607814836,4.5,30.86594956178043,1.0262905312049857,7.812971667781222,2.295274284745969,18.38477631085024,2.1625734259565195,0.6422696273023267
-3.02249999,-60.05555555,NE,BA,CRUZ DAS ALMAS,78.58462106534338,1001.2313760540496,83.81818181818181,26.747862735172916,0.6055143781415702,12.587446524887525,1.8644572053184292,79.82449885394804,2.726504243763319,0.8721349577017835
